title,price,description,stockQuantity,imageUrl,dateAddedToStock,dateRemovedFromStock
Pet Hair Remover,376.88,Effective roller for removing pet hair from furniture.,258,http://dummyimage.com/220x100.png/5fa2dd/ffffff,05-09-2023,
Italian Herb Balsamic Marinade,338.12,"A rich marinade perfect for meats and vegetables, infused with Italian herbs and balsamic vinegar.",45,http://dummyimage.com/146x100.png/5fa2dd/ffffff,08-06-2022,
Teriyaki Beef Jerky,742.45,Savory and chewy beef jerky with teriyaki flavor.,982,http://dummyimage.com/131x100.png/ff4444/ffffff,10-05-2023,
Heat-Resistant Silicone Mat,656.58,Protects surfaces while baking or cooking with hot items.,978,http://dummyimage.com/113x100.png/dddddd/000000,22-09-2021,
Portable SSD,279.04,"Fast and compact external solid state drive, 1TB.",438,http://dummyimage.com/128x100.png/cc0000/ffffff,08-02-2021,
Warm Wool Sweater,428.86,Cozy wool sweater to keep you warm on chilly days.,377,http://dummyimage.com/149x100.png/dddddd/000000,11-05-2023,
Organic Cereal Bars,789.98,Healthy snack bars packed with oats and fruit.,855,http://dummyimage.com/157x100.png/ff4444/ffffff,23-03-2023,23-10-2023
Cranberry Almond Cookies,408.14,Delicious cookies with cranberries and almonds in every bite.,350,http://dummyimage.com/209x100.png/5fa2dd/ffffff,04-03-2024,
Garlic Parmesan Roasted Nuts,460.24,"Savory, roasted nuts seasoned with garlic and parmesan.",811,http://dummyimage.com/181x100.png/ff4444/ffffff,16-07-2022,
Ready-to-Eat Chili,522.15,"Spicy chili in a can, ready to eat for a filling meal.",679,http://dummyimage.com/157x100.png/ff4444/ffffff,26-08-2023,
Comfort Flats,882.07,Everyday flats that combine comfort and style.,91,http://dummyimage.com/121x100.png/dddddd/000000,16-12-2024,
Electric Heat Pad,705.19,Microwaveable heat pad for soothing muscle aches.,161,http://dummyimage.com/124x100.png/5fa2dd/ffffff,06-10-2020,
Spinach and Cheese Stuffed Shells,903.13,Delicious pasta shells filled with spinach and cheese,352,http://dummyimage.com/246x100.png/cc0000/ffffff,29-09-2020,
Dog Waste Bag Dispenser,782.48,Convenient dispenser for dog waste bags on walks.,499,http://dummyimage.com/229x100.png/dddddd/000000,05-06-2021,
Stick Vacuums Cleaner,207.12,Cordless vacuum cleaner for quick clean-ups.,328,http://dummyimage.com/222x100.png/ff4444/ffffff,09-04-2021,
Apple Cinnamon Breakfast Muffins,748.22,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,199,http://dummyimage.com/169x100.png/5fa2dd/ffffff,29-01-2023,
Magnetic Spice Containers,287.63,Set of magnetic jars for convenient spice organization.,867,http://dummyimage.com/145x100.png/ff4444/ffffff,06-03-2021,
Electric Griddle with Removable Plates,329.14,Non-stick surface for easy cooking and cleaning.,492,http://dummyimage.com/187x100.png/cc0000/ffffff,06-05-2024,
Yoga Wheel,436.81,Supportive yoga wheel for deep stretching and balance.,348,http://dummyimage.com/196x100.png/cc0000/ffffff,14-08-2020,
Chickpea Salad Deluxe,606.74,"Chickpeas mixed with fresh vegetables and herbs, a nutritious snack or salad.",624,http://dummyimage.com/146x100.png/dddddd/000000,08-10-2022,
Fitness Tracker Watch,594.23,Water-resistant activity tracker and smartwatch features.,883,http://dummyimage.com/172x100.png/ff4444/ffffff,09-04-2023,09-05-2023
Weighted Blanket for Adults,613.82,A calming blanket that provides gentle pressure for relaxation.,925,http://dummyimage.com/112x100.png/ff4444/ffffff,25-09-2022,
Thyme,152.76,"Fresh thyme, perfect for seasoning dishes.",716,http://dummyimage.com/161x100.png/cc0000/ffffff,16-03-2023,
Cable Knit Cardigan,26.91,Cozy cable knit cardigan to layer during chilly evenings.,103,http://dummyimage.com/123x100.png/5fa2dd/ffffff,02-04-2024,
Reclining Camping Chair,119.12,Foldable reclining camping chair with cup holder.,865,http://dummyimage.com/194x100.png/5fa2dd/ffffff,11-02-2025,
Walnut Halves,17.79,Fresh walnut halves for baking or snacking.,67,http://dummyimage.com/134x100.png/cc0000/ffffff,23-03-2024,
Coconut Rice,793.72,Fluffy rice cooked with coconut milk for a tropical twist.,118,http://dummyimage.com/209x100.png/ff4444/ffffff,27-08-2024,
Eco-Friendly Notepad,94.54,Notepad made from recycled paper for sustainable note-taking.,855,http://dummyimage.com/185x100.png/cc0000/ffffff,22-12-2024,22-02-2025
Blueberry Chia Jam,972.82,"Homemade jam made with blueberries and chia seeds, no added sugar.",570,http://dummyimage.com/133x100.png/5fa2dd/ffffff,09-05-2023,
Asian Stir-Fry Vegetables,688.57,Frozen mix of colorful stir-fry veggies.,958,http://dummyimage.com/103x100.png/5fa2dd/ffffff,13-05-2023,
Weighted Jump Rope with Counter,753.2,Jump rope that counts your jumps for tracking workouts.,949,http://dummyimage.com/181x100.png/5fa2dd/ffffff,05-10-2022,
Pasta (Linguine),455.47,"Thin, flat pasta perfect for various sauces.",867,http://dummyimage.com/118x100.png/ff4444/ffffff,20-06-2020,
Biodegradable Phone Case,529.5,Eco-friendly phone case designed to decompose safely.,361,http://dummyimage.com/169x100.png/cc0000/ffffff,28-03-2022,
Cat Tree,761.03,Multi-level cat tree for climbing and scratching.,354,http://dummyimage.com/131x100.png/5fa2dd/ffffff,15-01-2022,
Electric Kettle with Temperature Control,957.84,Electric kettle that offers precise temperature settings.,407,http://dummyimage.com/101x100.png/cc0000/ffffff,08-04-2023,
Wire Shelving Unit,499.99,Adjustable shelving unit for home or garage storage.,917,http://dummyimage.com/198x100.png/ff4444/ffffff,23-08-2020,23-01-2021
Organic Quinoa,595.87,Nutritious organic quinoa for salads or sides,231,http://dummyimage.com/224x100.png/5fa2dd/ffffff,19-08-2020,
Roasted Red Pepper Hummus,275.47,A creamy and flavorful hummus made with roasted red peppers.,723,http://dummyimage.com/179x100.png/5fa2dd/ffffff,15-05-2022,
Portable Hand Warmer,238.52,Rechargeable hand warmer for cold weather comfort.,946,http://dummyimage.com/105x100.png/ff4444/ffffff,14-10-2022,
Pet Training Pads,180.9,Absorbent training pads for puppies and kittens.,906,http://dummyimage.com/130x100.png/ff4444/ffffff,19-05-2023,
Flavored Instant Oatmeal,795.59,Quick oatmeal with various flavors,640,http://dummyimage.com/137x100.png/dddddd/000000,12-02-2023,
Spicy Kimchi,467.72,"Traditional Korean fermented vegetables, packed with flavor.",350,http://dummyimage.com/133x100.png/5fa2dd/ffffff,25-06-2023,
Herbal Tea Sampler Box,966.51,Assorted collection of herbal teas for relaxation and wellness.,648,http://dummyimage.com/208x100.png/ff4444/ffffff,11-10-2021,
Vegetable Fried Rice,650.12,Quick and easy fried rice mixed with vegetables and soy sauce.,214,http://dummyimage.com/158x100.png/dddddd/000000,05-11-2020,
Rechargeable Electric Toothbrush,131.97,Advanced electric toothbrush for effective cleaning.,747,http://dummyimage.com/134x100.png/dddddd/000000,18-01-2023,
Running Shorts,76.14,Lightweight and breathable running shorts for your workouts.,270,http://dummyimage.com/246x100.png/5fa2dd/ffffff,29-05-2024,
Almond Quinoa Salad,928.63,"Healthy salad made with quinoa, almonds, and mixed greens, perfect for a light meal.",422,http://dummyimage.com/130x100.png/cc0000/ffffff,18-05-2023,
Canned Black Beans,619.76,"Delicious and hearty black beans, great for soups or salads.",813,http://dummyimage.com/189x100.png/5fa2dd/ffffff,18-07-2020,
Savory Pumpkin Soup,949.69,Creamy pumpkin soup with spices,996,http://dummyimage.com/197x100.png/dddddd/000000,07-06-2020,
LED Desk Lamp,58.64,Dimmable LED desk lamp with USB charging port.,451,http://dummyimage.com/129x100.png/ff4444/ffffff,19-08-2023,
Magnetic Chess Set,874.45,Portable chess set with magnetic pieces for travel.,36,http://dummyimage.com/221x100.png/cc0000/ffffff,22-08-2022,
Key Finder,354.21,Bluetooth-enabled key tracker to find lost items easily.,666,http://dummyimage.com/208x100.png/cc0000/ffffff,05-06-2021,
Over-The-Door Shoe Organizer,159.83,Space-saving shoe organizer for tight spaces.,615,http://dummyimage.com/124x100.png/dddddd/000000,11-09-2020,11-12-2020
Digital Camera,383.74,Compact digital camera with 20MP resolution.,974,http://dummyimage.com/196x100.png/cc0000/ffffff,27-12-2022,
Home Brewing Starter Kit,357.94,All-in-one kit for brewing beer at home.,20,http://dummyimage.com/244x100.png/dddddd/000000,19-11-2024,
Multi-Layer Food Steamer,62.57,Stackable steamers for healthy cooking of vegetables and seafood.,823,http://dummyimage.com/137x100.png/dddddd/000000,10-07-2021,10-12-2021
Cinnamon Sugar Donuts,636.28,Delicious mini donuts dusted with cinnamon sugar.,432,http://dummyimage.com/158x100.png/dddddd/000000,28-11-2023,
Wild Rice Pilaf,57.13,"A mix of wild rice with herbs and spices, ready to serve.",347,http://dummyimage.com/164x100.png/dddddd/000000,13-11-2022,
Over-the-Door Hooks,421.61,Convenient hooks that utilize door space for hanging items.,858,http://dummyimage.com/204x100.png/cc0000/ffffff,24-04-2022,
Electric Milk Frother,78.04,Handheld frother for creating frothed milk for coffee.,869,http://dummyimage.com/117x100.png/5fa2dd/ffffff,10-11-2023,
Roasted Garlic Mashed Potatoes,902.22,Creamy mashed potatoes infused with roasted garlic flavor.,427,http://dummyimage.com/128x100.png/cc0000/ffffff,03-12-2020,
Olive Oil,355.0,"Extra virgin olive oil, ideal for cooking and salads.",166,http://dummyimage.com/100x100.png/dddddd/000000,17-07-2024,
Cotton Basic Tank,326.29,"Essential cotton tank top, perfect for layering.",758,http://dummyimage.com/110x100.png/cc0000/ffffff,23-09-2024,
Smart Light Switch,869.99,Control lights remotely with this smart switch.,725,http://dummyimage.com/218x100.png/ff4444/ffffff,28-12-2023,
Quality Chef Apron,106.96,Durable apron to keep clothes clean while cooking.,637,http://dummyimage.com/242x100.png/dddddd/000000,11-08-2020,
Buffalo Chicken Wraps,342.97,Savory wraps with buffalo chicken and fresh vegetables.,478,http://dummyimage.com/159x100.png/5fa2dd/ffffff,15-11-2024,
Adjustable Laptop Desk,973.99,Portable desk that can be adjusted for sitting or standing.,109,http://dummyimage.com/217x100.png/ff4444/ffffff,07-02-2021,
LED Desk Lamp with USB Charging,787.12,Stylish desk lamp featuring a USB charging port.,373,http://dummyimage.com/247x100.png/dddddd/000000,29-03-2025,
Pumpkin Spice Pancake Mix,519.32,Pancake mix infused with seasonal pumpkin spice flavor.,390,http://dummyimage.com/145x100.png/5fa2dd/ffffff,06-07-2023,
Raisin Cinnamon Granola,872.79,Crunchy granola with raisins and cinnamon for a delightful breakfast.,329,http://dummyimage.com/231x100.png/ff4444/ffffff,21-04-2022,21-12-2022
Miso Soup Mix,445.96,"Instant miso soup mix, just add hot water for a warm meal.",165,http://dummyimage.com/141x100.png/cc0000/ffffff,22-03-2023,
Compact Pop-Up Tent,686.95,Easy setup tent perfect for camping and outdoor festivals.,18,http://dummyimage.com/210x100.png/cc0000/ffffff,02-05-2020,
Bamboo Toothbrush,105.85,Eco-friendly bamboo toothbrush for sustainable living.,635,http://dummyimage.com/159x100.png/dddddd/000000,05-10-2023,
Cranberry Juice,958.7,Refreshing cranberry juice with no added sugar.,836,http://dummyimage.com/107x100.png/cc0000/ffffff,14-11-2024,
Black Olives,252.86,"Sliced black olives, perfect for salads and pizzas.",79,http://dummyimage.com/137x100.png/dddddd/000000,09-12-2023,
Oven-Baked Sweet Potato Fries,362.05,"Crispy sweet potato fries, perfectly seasoned and baked to perfection.",187,http://dummyimage.com/115x100.png/dddddd/000000,11-02-2023,
Andouille Sausage,219.29,Spicy and smoky sausage great for grilling.,195,http://dummyimage.com/206x100.png/ff4444/ffffff,05-06-2024,
Chocolate Coconut Granola,596.81,"Crunchy granola with chocolate and coconut, great for breakfast or snacks.",723,http://dummyimage.com/129x100.png/dddddd/000000,07-12-2021,
Wireless Smart Plug,563.89,Control home appliances remotely using your smartphone app.,486,http://dummyimage.com/209x100.png/5fa2dd/ffffff,11-10-2023,
Blueberry Chia Jam,445.7,"Homemade jam made with blueberries and chia seeds, no added sugar.",138,http://dummyimage.com/239x100.png/cc0000/ffffff,30-08-2020,
Comfortable Bed Pillow,515.13,Supportive pillow designed for a good night's sleep.,215,http://dummyimage.com/148x100.png/dddddd/000000,18-11-2021,
Peach Halves (canned),74.59,"Sweet peach halves packed in juice, great for desserts.",317,http://dummyimage.com/203x100.png/cc0000/ffffff,12-03-2024,
Wi-Fi Enabled Smart Light Switch,212.11,Control your lights remotely with a smartphone app.,743,http://dummyimage.com/243x100.png/5fa2dd/ffffff,15-06-2024,
LED Christmas Tree Lights,76.09,String lights for decorating holiday trees.,464,http://dummyimage.com/163x100.png/ff4444/ffffff,11-11-2023,
Travel Laundry Bag,939.84,Compact laundry bag for travel use.,739,http://dummyimage.com/169x100.png/cc0000/ffffff,11-03-2022,
Coconut Curry Lentils,992.62,Lentils cooked in a coconut curry for a hearty meal.,385,http://dummyimage.com/131x100.png/cc0000/ffffff,12-05-2020,
Fruit Medley Juice,635.43,Refreshing juice blend made with various fresh fruits.,932,http://dummyimage.com/182x100.png/ff4444/ffffff,02-09-2021,
Honey-Balsamic Vinaigrette,450.91,A sweet and tangy vinaigrette dressing for salads.,861,http://dummyimage.com/149x100.png/5fa2dd/ffffff,05-02-2023,
Portable Hammock,582.27,Lightweight hammock for easy setup anywhere.,630,http://dummyimage.com/141x100.png/ff4444/ffffff,25-03-2021,
Car Vacuum,471.77,Portable car vacuum cleaner with strong suction.,773,http://dummyimage.com/221x100.png/cc0000/ffffff,03-06-2024,
Thai Coconut Curry Sauce,801.86,A rich coconut curry sauce perfect for simmering vegetables or meats.,89,http://dummyimage.com/219x100.png/cc0000/ffffff,09-05-2024,
Pineapple Salsa,621.04,Fresh salsa made with pineapple and spices,747,http://dummyimage.com/224x100.png/dddddd/000000,07-02-2024,
Puzzle,292.37,Challenging 1000-piece jigsaw puzzle for all ages.,260,http://dummyimage.com/120x100.png/dddddd/000000,07-04-2022,
Decorative LED Neon Sign,374.8,"Bright, vibrant sign to add flair to any space.",265,http://dummyimage.com/168x100.png/ff4444/ffffff,01-02-2024,
Pet Water Fountain,142.78,Automatic water fountain for pets with filtration.,872,http://dummyimage.com/117x100.png/ff4444/ffffff,01-03-2021,
Lemon Sorbet,39.13,Refreshing sorbet with a zesty lemon flavor.,363,http://dummyimage.com/138x100.png/ff4444/ffffff,31-12-2020,
Bamboo Bathtub Caddy,888.28,"Expandable caddy for holding books, phones, and snacks while in the bath.",294,http://dummyimage.com/132x100.png/dddddd/000000,11-10-2020,
Chunky Knit Sweater,343.45,Cozy oversized sweater perfect for chilly days with a textured knit design.,208,http://dummyimage.com/210x100.png/cc0000/ffffff,22-11-2022,
Mini Indoor Herb Garden Kit,962.7,All-in-one kit for growing herbs in your kitchen.,791,http://dummyimage.com/168x100.png/5fa2dd/ffffff,18-01-2021,
Magnet Travel Fridge Magnets,176.04,Fun tourist magnets from around the world for your fridge.,180,http://dummyimage.com/212x100.png/ff4444/ffffff,23-03-2025,23-02-2026
Running Shorts,974.48,Lightweight and breathable running shorts for your workouts.,528,http://dummyimage.com/227x100.png/dddddd/000000,16-06-2022,
Aeropress Coffee Maker,471.83,Portable coffee maker for rich brews on the go.,275,http://dummyimage.com/212x100.png/5fa2dd/ffffff,14-05-2022,
Slim Wallet,227.56,RFID-blocking slim wallet for cards and cash.,654,http://dummyimage.com/197x100.png/5fa2dd/ffffff,22-12-2021,22-12-2022
Portable Bluetooth Headphones,811.03,Wireless headphones with noise-canceling features.,489,http://dummyimage.com/224x100.png/5fa2dd/ffffff,12-09-2021,
Camping Lantern,926.45,Rechargeable LED camping lantern for outdoor use.,647,http://dummyimage.com/197x100.png/cc0000/ffffff,10-12-2024,
Sweet Potato Chips,91.24,"Deliciously crunchy sweet potato chips, seasoned to perfection.",863,http://dummyimage.com/138x100.png/dddddd/000000,28-07-2024,
Smart Air Purifier,614.96,Filters allergens and pollutants from the air for a healthier home.,495,http://dummyimage.com/219x100.png/ff4444/ffffff,09-10-2024,09-10-2025
Mixed Nuts,301.93,"A blend of assorted nuts, perfect for snacking or adding to recipes.",81,http://dummyimage.com/240x100.png/5fa2dd/ffffff,07-12-2020,
Bock Beer Mustard,166.51,"Flavorful mustard with a tangy kick, perfect for hot dogs and sandwiches.",569,http://dummyimage.com/110x100.png/cc0000/ffffff,14-03-2024,
Garden Tool Belt,281.24,Handy belt for carrying garden tools while working.,412,http://dummyimage.com/240x100.png/ff4444/ffffff,13-01-2025,13-09-2025
Pet Carrier Backpack,855.08,Comfortable and breathable backpack for carrying small pets.,457,http://dummyimage.com/220x100.png/cc0000/ffffff,08-07-2023,
Quinoa,688.66,"Protein-rich quinoa, a great alternative to rice.",963,http://dummyimage.com/133x100.png/ff4444/ffffff,11-02-2023,11-11-2023
Leather Crossbody Bag,453.61,A chic leather crossbody bag for everyday use.,71,http://dummyimage.com/161x100.png/cc0000/ffffff,05-09-2024,
Organic Quinoa Chips,228.72,"Light and crispy chips made from quinoa, ideal for dipping.",79,http://dummyimage.com/147x100.png/ff4444/ffffff,23-06-2023,
Bicycle Repair Kit,27.67,Essential tools for on-the-go bike maintenance.,265,http://dummyimage.com/186x100.png/5fa2dd/ffffff,25-09-2022,
Barbecue Chicken Pizza,694.18,"Pizza topped with barbecue chicken, cheese, and red onions.",300,http://dummyimage.com/104x100.png/cc0000/ffffff,20-06-2024,
Organic Whole Grain Oats,166.0,Whole grain oats that are perfect for breakfast or baking.,543,http://dummyimage.com/190x100.png/cc0000/ffffff,05-07-2023,
Personalized Keychain,357.71,Custom keychain with engraved text.,184,http://dummyimage.com/248x100.png/ff4444/ffffff,13-06-2020,
Paint By Numbers Kit,455.1,Relaxing paint kit with pre-printed canvas for painting.,131,http://dummyimage.com/171x100.png/5fa2dd/ffffff,15-10-2024,
Italian Sausage and Peppers,387.29,A flavorful blend of Italian sausage with sautéed peppers and onions.,37,http://dummyimage.com/165x100.png/5fa2dd/ffffff,26-11-2020,
Memory Foam Mattress Topper,428.92,3-inch memory foam mattress topper for added comfort.,613,http://dummyimage.com/247x100.png/dddddd/000000,08-02-2021,
Fettuccine Alfredo Dinner Kit,818.3,Easy meal kit for creamy fettuccine Alfredo.,719,http://dummyimage.com/152x100.png/5fa2dd/ffffff,08-07-2021,
Fried Rice,472.8,"Pre-cooked vegetable fried rice, just heat and serve.",709,http://dummyimage.com/237x100.png/5fa2dd/ffffff,21-01-2025,21-08-2025
Organic Lentil Soup,530.08,A hearty soup made with organic lentils and vegetables.,675,http://dummyimage.com/231x100.png/5fa2dd/ffffff,17-04-2021,
Sliced Strawberries,628.01,Fresh sliced strawberries for toppings or snacking,347,http://dummyimage.com/164x100.png/dddddd/000000,27-03-2021,
Almond Joy Snack Bars,769.15,Chewy snack bars with coconut and almonds coated in chocolate.,755,http://dummyimage.com/175x100.png/ff4444/ffffff,07-01-2025,
Workstation Laptop Stand,442.92,Adjustable stand to improve ergonomics while working on a laptop.,65,http://dummyimage.com/216x100.png/5fa2dd/ffffff,08-09-2022,
Almond Joy Bars,706.76,Chocolate-covered candy bars with coconut and almonds.,390,http://dummyimage.com/192x100.png/ff4444/ffffff,13-12-2024,
Classic Vanilla Fudge,984.91,"Creamy vanilla fudge, a sweet treat for all occasions.",216,http://dummyimage.com/235x100.png/dddddd/000000,05-12-2022,
Stuffed Peppers with Quinoa,679.4,Bell peppers filled with quinoa and vegetables.,817,http://dummyimage.com/241x100.png/ff4444/ffffff,11-02-2023,
Vegetable and Cheese Quesadillas,98.12,Flour tortilla filled with cheese and a medley of vegetables.,664,http://dummyimage.com/201x100.png/cc0000/ffffff,22-12-2021,
Energy Protein Bars,746.21,Nutritious bars packed with protein for energy,769,http://dummyimage.com/140x100.png/5fa2dd/ffffff,25-03-2023,
BBQ Jackfruit,210.47,"Tender jackfruit cooked in BBQ sauce, a delicious plant-based alternative.",848,http://dummyimage.com/146x100.png/cc0000/ffffff,06-11-2020,06-09-2021
Ginger Turmeric Tea,380.31,Herbal tea blend with ginger and turmeric for a soothing drink.,480,http://dummyimage.com/141x100.png/5fa2dd/ffffff,27-11-2020,
Chocolate Fudge Brownie Mix,546.97,Just add water for delicious brownies.,890,http://dummyimage.com/116x100.png/ff4444/ffffff,27-06-2021,
Mechanical Keyboard,692.37,High-performance mechanical keyboard with customizable RGB.,934,http://dummyimage.com/168x100.png/ff4444/ffffff,06-04-2022,
Mushroom Soup (canned),129.86,Creamy soup full of rich mushroom flavor.,353,http://dummyimage.com/111x100.png/5fa2dd/ffffff,01-11-2020,
Children's Educational Workbook,186.42,Activity workbook for early learning and fun.,534,http://dummyimage.com/249x100.png/dddddd/000000,29-08-2024,
Quality Chef Apron,659.6,Durable apron to keep clothes clean while cooking.,682,http://dummyimage.com/137x100.png/ff4444/ffffff,14-05-2020,
Air Fryer Oven,618.25,"Versatile air fryer that also roasts, bakes, and broils.",117,http://dummyimage.com/155x100.png/ff4444/ffffff,25-09-2022,
Workstation Laptop Stand,363.87,Adjustable stand to improve ergonomics while working on a laptop.,438,http://dummyimage.com/125x100.png/cc0000/ffffff,15-07-2021,
Salt and Pepper Grinder Set,858.16,Adjustable grinders for fresh spices at the table.,231,http://dummyimage.com/103x100.png/ff4444/ffffff,08-05-2021,
Digital Camera,970.19,Compact digital camera with 20MP resolution.,509,http://dummyimage.com/111x100.png/dddddd/000000,27-12-2024,
Basic V-Neck T-Shirt,833.15,A staple v-neck t-shirt that pairs well with anything.,154,http://dummyimage.com/197x100.png/5fa2dd/ffffff,15-11-2020,
Granulated Sugar,183.26,Fine granulated sugar for all your baking needs.,127,http://dummyimage.com/149x100.png/cc0000/ffffff,29-04-2020,
Self-Cleaning Cat Litter Box,383.24,Automated litter box that cleans itself after each use.,852,http://dummyimage.com/146x100.png/ff4444/ffffff,13-08-2024,
Home Karaoke System,587.21,Complete karaoke system with microphones and speakers.,400,http://dummyimage.com/211x100.png/cc0000/ffffff,09-08-2023,
Italian Marinara Sauce,46.5,"Classic marinara sauce for pasta, pizza, or dipping.",255,http://dummyimage.com/169x100.png/dddddd/000000,10-11-2022,
Electric Stool Heater,481.99,Heated stool cover for extra comfort during winter.,50,http://dummyimage.com/133x100.png/5fa2dd/ffffff,07-05-2020,
High-Speed HDMI Cable,334.27,Durable cable for connecting devices with high-definition video.,511,http://dummyimage.com/222x100.png/dddddd/000000,06-07-2021,
Garden Vegetable Soup,743.55,"A hearty soup filled with vegetables and herbs, perfect for a light meal.",146,http://dummyimage.com/115x100.png/dddddd/000000,17-12-2023,
Organic Tomato Ketchup,664.84,"Classic ketchup made from organic tomatoes, no added sugar.",918,http://dummyimage.com/238x100.png/ff4444/ffffff,10-07-2022,
Water Bottle with Built-in Fruit Infuser,326.17,Stay hydrated with refreshing flavored water.,553,http://dummyimage.com/179x100.png/ff4444/ffffff,24-03-2021,
Pet Waterer with Filtration,114.41,Automatic waterer that filters and provides fresh drinking water for pets.,361,http://dummyimage.com/199x100.png/dddddd/000000,29-09-2021,
Sushi Rice,544.06,Short-grain sushi rice for perfect rolls.,231,http://dummyimage.com/112x100.png/5fa2dd/ffffff,09-02-2021,
Set of Herb Garden Markers,388.45,Stylish markers for labeling your indoor garden plants.,45,http://dummyimage.com/188x100.png/ff4444/ffffff,09-02-2024,
Over-the-Door Shoe Organizer,613.7,Space-saving solution to store shoes and keep them organized.,977,http://dummyimage.com/156x100.png/dddddd/000000,27-07-2024,
Cauliflower Gnocchi,724.98,"Soft and pillowy gnocchi made from cauliflower, perfect with sauce.",517,http://dummyimage.com/144x100.png/dddddd/000000,05-10-2024,
Apple Cinnamon Oatmeal,613.97,Warm oatmeal flavored with apple and cinnamon.,951,http://dummyimage.com/203x100.png/cc0000/ffffff,29-05-2023,
Peach Preserves,660.89,"Sweet and fruity peach preserves, perfect for spreading on toast.",868,http://dummyimage.com/215x100.png/5fa2dd/ffffff,15-04-2020,
Smart Water Bottle with Hydration Reminder,519.26,Bottle that tracks your water intake and reminds you to drink.,149,http://dummyimage.com/179x100.png/5fa2dd/ffffff,22-12-2023,22-05-2024
Ceramic Bakeware Set,753.92,Durable ceramic bakeware for casseroles and desserts.,276,http://dummyimage.com/203x100.png/dddddd/000000,30-08-2023,
Cinnamon Sugar Tortilla Chips,508.94,"Crispy chips with a sweet twist, perfect for dipping.",388,http://dummyimage.com/216x100.png/5fa2dd/ffffff,04-05-2020,
Spaghetti Squash,384.24,Low-carb vegetable for pasta alternatives.,536,http://dummyimage.com/233x100.png/dddddd/000000,08-11-2024,
Chewy Granola Bars,640.09,Oats and honey bars with a chewy texture and nutty flavor.,527,http://dummyimage.com/160x100.png/5fa2dd/ffffff,30-06-2021,
Digital Camera,279.73,Compact digital camera with 20MP resolution.,949,http://dummyimage.com/146x100.png/ff4444/ffffff,25-02-2022,
Tomato Sauce,278.15,Rich and flavorful tomato sauce for pasta or pizza.,791,http://dummyimage.com/225x100.png/dddddd/000000,01-12-2020,
Smoked Paprika,442.92,Add a smoky flavor to your dishes.,50,http://dummyimage.com/189x100.png/ff4444/ffffff,03-01-2023,
Wooden Kitchen Utensil Set,362.59,Eco-friendly utensil set made from natural wood.,214,http://dummyimage.com/121x100.png/ff4444/ffffff,11-09-2024,
Multi-Function Meat Tenderizer,943.02,Kitchen tool for tenderizing meat to enhance flavors.,342,http://dummyimage.com/171x100.png/5fa2dd/ffffff,13-10-2024,
LED Desk Lamp with USB Charging Port,712.5,Modern lamp featuring a USB port for convenient charging.,655,http://dummyimage.com/182x100.png/cc0000/ffffff,30-09-2020,
Portable Charcoal Grill,287.84,Compact charcoal grill perfect for tailgating.,246,http://dummyimage.com/247x100.png/dddddd/000000,22-09-2024,
Smart Wi-Fi Camera,378.51,Indoor Wi-Fi camera for home security.,186,http://dummyimage.com/130x100.png/ff4444/ffffff,02-11-2022,02-12-2022
Pet Travel Carrier,234.82,Comfortable carrier for small pets during travel.,252,http://dummyimage.com/122x100.png/5fa2dd/ffffff,22-12-2021,
Non-Stick Grill Pan,699.65,Heavy-duty grill pan for indoor grilling.,654,http://dummyimage.com/190x100.png/5fa2dd/ffffff,05-10-2020,
Electric Kettle with Temperature Control,657.37,Electric kettle that offers precise temperature settings.,868,http://dummyimage.com/194x100.png/ff4444/ffffff,18-10-2022,18-08-2023
Buffalo Stilton Cheese,593.53,Spicy blue cheese with a hint of buffalo flavor.,677,http://dummyimage.com/202x100.png/ff4444/ffffff,24-08-2021,
Travel Beach Blanket,537.45,Sand-resistant and compact for outdoor and beach use.,463,http://dummyimage.com/144x100.png/dddddd/000000,14-10-2023,
Crispy Potato Tots,58.01,"Golden brown potato tots, crispy on the outside and fluffy inside.",963,http://dummyimage.com/164x100.png/cc0000/ffffff,12-02-2021,12-07-2021
Roasted Red Pepper Sauce,313.52,Savory sauce perfect for pasta or dipping.,118,http://dummyimage.com/110x100.png/5fa2dd/ffffff,02-03-2023,
Traditional Hummus,256.87,Creamy chickpea dip blended with tahini and garlic.,100,http://dummyimage.com/114x100.png/dddddd/000000,09-07-2024,
Voice-Controlled Speaker,980.0,Smart speaker with Alexa and music streaming features.,852,http://dummyimage.com/208x100.png/5fa2dd/ffffff,03-11-2023,
Sweet Potato & Kale Hash,662.81,"Savory hash made with sweet potatoes and kale, a perfect side dish.",982,http://dummyimage.com/149x100.png/ff4444/ffffff,12-06-2020,
Camping Chair,755.92,Portable folding camping chair with cup holder.,547,http://dummyimage.com/233x100.png/cc0000/ffffff,17-08-2021,
Hummus,319.27,"Creamy chickpea dip, perfect for veggies or pita.",97,http://dummyimage.com/226x100.png/ff4444/ffffff,04-11-2022,
Banana Nut Oatmeal Cups,402.39,"Quick oatmeal cups with banana and nut flavor, great for breakfast.",481,http://dummyimage.com/160x100.png/5fa2dd/ffffff,24-06-2021,
Herb Seasoned Croutons,392.33,Crunchy croutons with a blend of herbs for salads.,808,http://dummyimage.com/227x100.png/5fa2dd/ffffff,21-03-2025,
